job_run_at,station_id_from,station_id_to,duration_in_seconds
2026-08-19 21:41:06.804167+00:00,6,35,971.48
2026-08-19 21:41:06.804167+00:00,6,36,923.27
2026-08-19 21:41:06.804167+00:00,6,38,921.61
2026-08-19 21:41:06.804167+00:00,6,41,904.81
2026-08-19 21:41:06.804167+00:00,6,43,1378.67
2026-08-19 21:41:06.804167+00:00,6,44,1901.52
2026-08-19 21:41:06.804167+00:00,6,45,953.31
2026-08-19 21:41:06.804167+00:00,6,46,497.08
2026-08-19 21:41:06.804167+00:00,6,48,347.71
2026-08-19 21:41:06.804167+00:00,6,49,1368.37
2026-08-19 21:41:06.804167+00:00,6,50,1436.51
2026-08-19 21:41:06.804167+00:00,6,54,1564.13
2026-08-19 21:41:06.804167+00:00,6,56,1849.89
2026-08-19 21:41:06.804167+00:00,6,57,632.59
2026-08-19 21:41:06.804167+00:00,6,58,2113.77
2026-08-19 21:41:06.804167+00:00,6,59,429.54
2026-08-19 21:41:06.804167+00:00,6,60,900.21
2026-08-19 21:41:06.804167+00:00,6,61,3021.86
2026-08-19 21:41:06.804167+00:00,6,63,933.16
2026-08-19 21:41:06.804167+00:00,6,64,1185.1
2026-08-19 21:41:06.804167+00:00,6,65,1668.05
2026-08-19 21:41:06.804167+00:00,6,66,1567.6
2026-08-19 21:41:06.804167+00:00,6,68,3455.38
2026-08-19 21:41:06.804167+00:00,6,69,1328.91
2026-08-19 21:41:06.804167+00:00,6,70,1712.41
2026-08-19 21:41:06.804167+00:00,6,71,808.1
2026-08-19 21:41:06.804167+00:00,6,73,114.62
2026-08-19 21:41:06.804167+00:00,6,74,1684.99
2026-08-19 21:41:06.804167+00:00,6,75,898.93
2026-08-19 21:41:06.804167+00:00,6,76,925.17
2026-08-19 21:41:06.804167+00:00,6,77,3347.56
2026-08-19 21:41:06.804167+00:00,6,79,605.55
2026-08-19 21:41:06.804167+00:00,6,80,1539.9
2026-08-19 21:41:06.804167+00:00,6,82,1513.3
2026-08-19 21:41:06.804167+00:00,6,83,908.45
2026-08-19 21:41:06.804167+00:00,6,85,1423.61
2026-08-19 21:41:06.804167+00:00,6,86,818.61
2026-08-19 21:41:06.804167+00:00,6,87,1431.23
2026-08-19 21:41:06.804167+00:00,7,2,500.23
2026-08-19 21:41:06.804167+00:00,7,3,371.3
2026-08-19 21:41:06.804167+00:00,7,4,303.32
2026-08-19 21:41:06.804167+00:00,7,5,1215.42
2026-08-19 21:41:06.804167+00:00,7,6,737.78
2026-08-19 21:41:06.804167+00:00,7,7,0.0
2026-08-19 21:41:06.804167+00:00,7,8,229.38
2026-08-19 21:41:06.804167+00:00,7,9,855.67
2026-08-19 21:41:06.804167+00:00,7,12,440.05
2026-08-19 21:41:06.804167+00:00,7,13,524.93
2026-08-19 21:41:06.804167+00:00,7,14,1276.43
2026-08-19 21:41:06.804167+00:00,7,17,747.87
2026-08-19 21:41:06.804167+00:00,7,21,1169.86
2026-08-19 21:41:06.804167+00:00,7,22,348.6
2026-08-19 21:41:06.804167+00:00,7,24,110.73
2026-08-19 21:41:06.804167+00:00,7,25,925.2
2026-08-19 21:41:06.804167+00:00,7,26,550.75
2026-08-19 21:41:06.804167+00:00,7,27,327.94
2026-08-19 21:41:06.804167+00:00,7,29,1000.45
2026-08-19 21:41:06.804167+00:00,7,32,225.56
2026-08-19 21:41:06.804167+00:00,7,33,536.14
2026-08-19 21:41:06.804167+00:00,7,35,437.72
2026-08-19 21:41:06.804167+00:00,7,36,306.39
2026-08-19 21:41:06.804167+00:00,7,38,260.29
2026-08-19 21:41:06.804167+00:00,7,41,1083.81
2026-08-19 21:41:06.804167+00:00,7,43,717.35
2026-08-19 21:41:06.804167+00:00,7,44,1240.2
2026-08-19 21:41:06.804167+00:00,7,45,279.58
2026-08-19 21:41:06.804167+00:00,7,46,499.73
2026-08-19 21:41:06.804167+00:00,7,48,848.94
2026-08-19 21:41:06.804167+00:00,7,49,1270.28
2026-08-19 21:41:06.804167+00:00,7,50,762.78
2026-08-19 21:41:06.804167+00:00,7,54,897.26
2026-08-19 21:41:06.804167+00:00,7,56,1183.01
2026-08-19 21:41:06.804167+00:00,7,57,374.89
2026-08-19 21:41:06.804167+00:00,7,58,1445.89
2026-08-19 21:41:06.804167+00:00,7,59,338.81
2026-08-19 21:41:06.804167+00:00,7,60,392.28
2026-08-19 21:41:06.804167+00:00,7,61,2596.99
2026-08-19 21:41:06.804167+00:00,7,63,271.84
2026-08-19 21:41:06.804167+00:00,7,64,511.37
2026-08-19 21:41:06.804167+00:00,7,65,1000.16
2026-08-19 21:41:06.804167+00:00,7,66,900.72
2026-08-19 21:41:06.804167+00:00,7,68,2794.06
2026-08-19 21:41:06.804167+00:00,7,69,661.02
2026-08-19 21:41:06.804167+00:00,7,70,1045.54
2026-08-19 21:41:06.804167+00:00,7,71,146.78
2026-08-19 21:41:06.804167+00:00,7,73,660.81
2026-08-19 21:41:06.804167+00:00,7,74,1026.23
2026-08-19 21:41:06.804167+00:00,7,75,474.04
2026-08-19 21:41:06.804167+00:00,7,76,361.36
2026-08-19 21:41:06.804167+00:00,7,77,2680.69
2026-08-19 21:41:06.804167+00:00,7,79,650.55
2026-08-19 21:41:06.804167+00:00,7,80,1405.6
2026-08-19 21:41:06.804167+00:00,7,82,864.75
2026-08-19 21:41:06.804167+00:00,7,83,234.72
2026-08-19 21:41:06.804167+00:00,7,85,755.73
